texto,intencion
dale para adelante,MOVER
avanzá dos metros,MOVER
caminá tres metros hacia adelante,MOVER
movete un metro,MOVER
andá para adelante despacio,MOVER
retrocedé dos pasos,MOVER
andá para atrás un metro,MOVER
caminá hacia la puerta,MOVER
marcha adelante despacio,MOVER
avanza rápido cuatro metros,MOVER
da unos pasos al frente,MOVER
desplazate medio metro,MOVER
retrocede lentamente,MOVER
avanza despacito,MOVER
caminá rápido,MOVER
date media vuelta,GIRAR
girá noventa grados a la derecha,GIRAR
girá a la izquierda,GIRAR
doblá a la derecha,GIRAR
rotá hacia la izquierda,GIRAR
da una vuelta hacia la derecha,GIRAR
girá hacia la izquierda despacio,GIRAR
doblá a la izquierda 45 grados,GIRAR
date vuelta,GIRAR
girá ciento ochenta grados,GIRAR
hacé un giro a la derecha,GIRAR
gira a la derecha,GIRAR
rota noventa grados,GIRAR
girate hacia la izquierda,GIRAR
virá a la derecha,GIRAR
frená ahí,DETENERSE
detente ya,DETENERSE
pará todo,DETENERSE
no avances más,DETENERSE
no te muevas,DETENERSE
alto ahí,DETENERSE
quedate quieto,DETENERSE
stop robot,DETENERSE
frená inmediatamente,DETENERSE
detente por favor,DETENERSE
pará la marcha,DETENERSE
no camines,DETENERSE
congelate,DETENERSE
frenate ya,DETENERSE
pará el motor,DETENERSE
hacele hola a la clase,SALUDO
saluda a los estudiantes,SALUDO
hacé un saludo,SALUDO
decí hola a todos,SALUDO
saludá con la mano,SALUDO
saludá al profesor,SALUDO
hacé una reverencia y saluda,SALUDO
dale un saludo a todos,SALUDO
hacé un gesto de saludo,SALUDO
saluda al público,SALUDO
levantá la mano para saludar,SALUDO
saludá cordialmente,SALUDO
haceles un saludo a los chicos,SALUDO
saludame,SALUDO
hacé un saludo formal,SALUDO
cuánta batería tenés,CONSULTAR_ESTADO
cómo estás de batería,CONSULTAR_ESTADO
cuánto nivel de batería te queda,CONSULTAR_ESTADO
cuál es tu estado actual,CONSULTAR_ESTADO
mostrame la telemetría,CONSULTAR_ESTADO
decime cuánta carga tenés,CONSULTAR_ESTADO
cómo están los motores,CONSULTAR_ESTADO
revisá el estado de la batería,CONSULTAR_ESTADO
dame tu reporte de estado,CONSULTAR_ESTADO
cuánta energía te queda,CONSULTAR_ESTADO
consultá tu nivel de batería,CONSULTAR_ESTADO
tenés suficiente batería,CONSULTAR_ESTADO
informe de estado por favor,CONSULTAR_ESTADO
cómo está tu carga,CONSULTAR_ESTADO
qué porcentaje de batería queda,CONSULTAR_ESTADO
qué hora es,DESCONOCIDO
cómo te llamás,DESCONOCIDO
quién sos,DESCONOCIDO
qué onda,DESCONOCIDO
contame un chiste,DESCONOCIDO
cómo está el clima hoy,DESCONOCIDO
qué día es hoy,DESCONOCIDO
cantame una canción,DESCONOCIDO
cuál es el sentido de la vida,DESCONOCIDO
salta desde la mesa,DESCONOCIDO
empujá la caja,DESCONOCIDO
corré lo más rápido que puedas,DESCONOCIDO
rompelo todo,DESCONOCIDO
pateá la pelota,DESCONOCIDO
cuál es la capital de Francia,DESCONOCIDO
